5;0;0
10;9;6
15;15;14
20;20;19
25;25;24
30;31;29
40;41;40
50;52;51
60;62;62
70;72;70
80;82;85
90;92;93
100;103;103
110;112;111
120;122;126
130;130;139
140;141;-1
150;151;-1
160;159;-1
170;168;-1
180;175;-1
190;180;-1
200;205;-1
210;200;-1
212;205;-1
